,Море,Участок,Год,id Участка,"TPHs,мг/л(0.05)","СПАВ,мкг/л(100.00)","Фенолы,мкг/л(1.00)"
0,Азовское море,Панагия-Кубань,1995,1508,0.1624,31.9902,
1,Азовское море,Панагия-Кубань,1997,1508,0.1653,43.9145,
2,Азовское море,Панагия-Кубань,1998,1508,0.0432,36.8358,
3,Азовское море,Панагия-Кубань,2000,1508,0.0232,25.9811,
4,Азовское море,Панагия-Кубань,2002,1508,0.0226,65.8302,
5,Азовское море,Панагия-Кубань,2003,1508,0.0425,34.3333,
6,Азовское море,Панагия-Кубань,2005,1508,0.0397,27.6714,
7,Азовское море,Панагия-Кубань,2006,1508,0.036,33.2083,
8,Азовское море,Панагия-Кубань,2007,1508,0.033,27.6234,
9,Азовское море,Панагия-Кубань,2008,1508,0.0382,27.5577,
10,Азовское море,Панагия-Кубань,2009,1508,0.0404,26.9057,
11,Азовское море,Панагия-Кубань,2010,1508,0.0387,16.7786,
12,Азовское море,Панагия-Кубань,2011,1508,0.0418,11.0643,
13,Азовское море,Панагия-Кубань,2012,1508,0.0484,9.7836,
14,Азовское море,Панагия-Кубань,2013,1508,0.0395,10.3094,
15,Азовское море,Панагия-Кубань,2014,1508,0.0405,9.7643,
16,Азовское море,Панагия-Кубань,2015,1508,0.0409,10.5286,
17,Азовское море,Таганрогский залив,1995,2101,0.0678,15.2222,
18,Азовское море,Таганрогский залив,1996,2101,0.0773,120.0,
19,Азовское море,Таганрогский залив,1997,2101,0.0875,24.0,
20,Азовское море,Таганрогский залив,1998,2101,0.0994,12.2222,
21,Азовское море,Таганрогский залив,1999,2101,0.065,24.4,
22,Азовское море,Таганрогский залив,2000,2101,0.0156,28.7111,
23,Азовское море,Таганрогский залив,2001,2101,0.0609,16.2727,
24,Азовское море,Таганрогский залив,2002,2101,0.0577,8.9811,
25,Азовское море,Таганрогский залив,2003,2101,0.0832,11.8182,
26,Азовское море,Таганрогский залив,2004,2101,0.1873,39.3333,
27,Азовское море,Таганрогский залив,2005,2101,0.2627,25.0,
28,Азовское море,Таганрогский залив,2006,2101,0.0883,25.8333,
29,Азовское море,Таганрогский залив,2007,2101,0.0931,36.6667,
30,Азовское море,Таганрогский залив,2008,2101,0.0621,53.0,
31,Азовское море,Таганрогский залив,2009,2101,0.0108,31.25,
32,Азовское море,Таганрогский залив,2010,2101,0.0301,12.1839,
33,Азовское море,Таганрогский залив,2011,2101,0.1135,20.0093,
34,Азовское море,Таганрогский залив,2012,2101,0.0255,22.75,
35,Балтийское море,Финский залив,2011,4501,0.0417,0.0201,0.0005
36,Балтийское море,Финский залив,2012,4501,0.0409,0.0164,0.0007
37,Балтийское море,Финский залив,2013,4501,0.0559,0.0204,0.0005
38,Балтийское море,Финский залив,2014,4501,0.041,0.0158,0.0005
39,Белое море,Двинский залив,1995,5101,0.0105,0.0522,
40,Белое море,Двинский залив,1996,5101,0.0214,0.0659,
41,Белое море,Двинский залив,1997,5101,0.0504,0.0257,
42,Белое море,Двинский залив,1998,5101,0.0183,,
43,Белое море,Двинский залив,1999,5101,0.0318,,
44,Белое море,Двинский залив,2000,5101,0.0242,,
45,Белое море,Двинский залив,2002,5101,0.005,,
46,Белое море,Двинский залив,2003,5101,0.0123,,
47,Белое море,Двинский залив,2004,5101,0.0575,,
48,Белое море,Двинский залив,2008,5101,0.0225,,
49,Белое море,Двинский залив,2009,5101,0.0104,,
50,Белое море,Двинский залив,2010,5101,0.013,,
51,Белое море,Двинский залив,2011,5101,0.0043,,
