,Название фильма,Дата начала показа фильма,Аннотация,Вид Фильма,Категория,Цвет,"Продолжительность демонстрации, часы","Продолжительность демонстрации, минуты",Формат носителя,Студия-производитель,Страна производства,Год производства,Режиссер,Художник,Сценарист,Оператор,Композитор,Продюсер,Возрастная категория
122447,"Машкины Страшилки. Серия ""Чудовищная правда о том, как страшно быть маленьким""",2017-06-09,Детский сериал,Анимационный,Кино,Цветной,0,6.0,Другой,"ООО Студия ""АНИМАККОРД"" - АНИМАККОРД ЛТД.","Россия, Республика Кипр",2017,Д.Червяцов,И.Трусов,И.Шаров,,А.Друбич,"Д.Ловейко, О.Кузовков",0+
122448,"Машкины Страшилки. Серия ""Чудовищная правда о том, как страшно быть маленьким""",2016-04-25,Детский сериал,Анимационный,Кино,Цветной,0,6.0,Другой,"ООО Студия ""АНИМАККОРД"" - АНИМАККОРД ЛТД.","Россия, Республика Кипр",2017,Д.Червяцов,,И.Шаров,И.Трусов,А.Друбич,"Д.Ловейко, О.Кузовков",0+
123422,Анна Каренина. История Вронского,2016-12-29,"В ролях - Е.Боярская, М.Матвеев, В.Кищенко, К.Гребенщиков  Драма по роману Л.Н.Толстого ""Анна Карелина, публицистической повести  В. Вересаева ""На японской войне и циклу ""Рассказы о японской войне""",,Кино,Цветной,2,138.0,Другой,"ФГУП ""Киноконцерн ""Мосфильм""",Россия,2017,К.Шахназаров,"С.Февралев, Ю.Макушина","А.Бузин, К.Шахназаров",А.Кузнецов,Ю.Потеенко," К.Шахназаров, А.Златопольский",12+
123443,МУЛЬТ в кино. Выпуск № 50,2017-03-21,Мультсборник,Анимационный,Кино,Цветной,0,47.0,Другой,"ООО ""Мульт в кино""",Россия,2017,О.Семёнова,,Гизатуллин В.Р.,,"С.Боголюбский, Д.Ставрович",П.Смирнов,0+
123452,"Анимационный сериал ""Котяткины истории-2""",2017-04-03,Анимационный детский сериал,Анимационный,Кино,Цветной,0,30.0,Другой,"ООО ""Студия ""Мастер-Фильм""",Россия,2017,Д.Наумов,О.Добровольский,Д.Наумов,,Р.Нурмухаметова (Р.Нур),А.Герасимов,0+
123485,Невеста .,2016-10-25,"Ужасы, мистика",,Кино,Цветной,1,95.0,Другой,"ООО ""Форс Медиа""",Россия,2017,С.Подгаевский,А.Фатина,"С.Подгаевский, В.Северцев",И.Бурлаков,Й.Хансен,"В.Северцев, Д.Литвинов, З.Болотаев",16+
123496,Лекарство от здоровья,2017-02-01,"В ролях: Джейсон Айзекс, Дэйн ДеХаан. Оздоровительный центр в швейцарских Альпах.",,Кино,Цветной,2,147.0,Другой,"Ридженси Энтерпрайзис, Нью Ридженси Продакшнз, Блинд Винк Продакшнз, Студио Бабелсберг, Тэ Эс Гэ Интертейнмент",США - Германия,2017,Гор Вербински,Ив Стюарт,"Гор Вербински, Джастин Хэйс",Боян Бацелли,Бенджамин Уоллфисч,"Гор Вербински, Дэвид Крокетт, Арнон Милчан",18+
123497,Босс-Молокосос,2017-02-09,Фантазер.,Анимационный,Кино,Цветной,1,98.0,Другой,ДримУоркс Анимейшн,США,2017,Том МакГрат,,"Майкл МакКаллерс, Марла Фрэйзи",,Ханс Циммер,Рэмси Энн Наито,6+
123500,Живое,2017-03-20,"В ролях: ДЖейк Джилленхолл, Райан Рейнольдс. Жизнь на Марсе. ",,Кино,Цветной,1,110.0,Другой,"Коламбиа Пикчерз, Скайдэнс Медиа, Сони Пикчерз Интертейнмент",США,2017,Даниэль Эспиноса,Найджел Фелпс,"Пол Верник, Рэтт Риз",Шимус МакГарви,Джон Экстренд,"Дана Голдберг, Бонни Кертис, Джули Линн, Дэвид Эллисон",18+
123501,Смурфики: Затерянная деревня,2017-03-20,"В ролях: Ариэль Винтер, Элли Кемпер. Волшебный мир.",,Кино,Цветной,1,93.0,Другой,"Коламбиа Пикчерз, Кернер Интертейнмент Компани, Эл Стар Кэпитал, Сони Пикчерз Анимейшн, Ванда Пикчерз",США,2017,Келли Эсбери,Ноэль Триоро,"Памела Рибон, Стейси Харман",,Кристофер Леннерц,"Мэри Эллен Бодер, Джордан Кернер",6+
123510,Голова. Два уха,2017-05-18,"В ролях - И.Лашин, Т.Лашина, Г.Кокоткин, А.Махлина    Трагикомедия",,Кино,Цветной,1,78.0,Другой,Суслин Виталий Игоревич,Россия,2017,В.Суслин,,"В.Суслин, И.Лашин",А.Малинкович,,,16+
123511,Искупление (2017),2017-05-18,"В ролях - Х.Мустафоев, Т.Заурбекова                         Драма",,Кино,Цветной,,,Другой,Абидова Аниса Сабировна,"Россия, Таджикистан",2017,А.Абидова (псевдоним Аниса Сабири),Т.Муминова,А.Абидова (псевдоним Аниса Сабири),П.Шарифов,,В.Хинензон,12+
123516,Весь этот мир,2017-06-01,"В ролях: Ник Робинсон, Аманда Стенберг. Экранизация.",,Кино,Цветной,1,96.0,Другой,"Итака Филмз, Эллой Интертейнмент, Метро Голдвин Майер, Уорнер Бразерс",США,2017,Стелла Меги,Эйвери Пльюис,Дж.Миллс Гудло,Игор Жадю-Лилло,Людвиг Горанссон,"Элиза Даттон, Лесли Моргенстейн",12+
123533,Осколки,2017-06-07,"В ролях: Ной Хантли, Крис Битем. Драма. Рутина похожих дней",,Кино,Цветной,1,74.0,Другой,"Хайп Филм, Иль Капо Филмз",США,2017,Алиса Хазанова,Катя Щеглова,"Майкл Грегори Куписк, Алиса Хазанова",Федор Лясс,Игорь Вдовин,"Клаудио Белланте, Роман Волобуев, Илья Стюарт, Алиса Хазанова",18+
123534,Песенки для котят Три котёнка,2017-06-16,Мультик на основе английикх детских песенок.,Анимационный,Кино,Цветной,0,29.0,Другой,"ООО ""кинокомпания ""МАСТЕР-ФИЛЬМ""",Россия,2017,"Е.Живайкина, А.Костогарова",О.Добровольский,,,,А.Герасимов,0+
123547,Время первых (2017),2017-02-21,"Фильм-катастрофа. Байопик о космонавте Алексее Леонове, совершившем первый в истории космонавтики выход в открытый космос. В ролях: Е.Миронов, К.Хабенский",,Кино,Цветной,2,142.0,Другой,"ООО ""ТаББаК"", ООО ""Студия Третий Рим""",Россия,2017,Д.Киселев,А.Терехова,"Д.Пинчуков, Ю.Коротков, И.Пивоварова, С.Калужанов, О.Погодин",В.Башта,Ю.Потеенко,"Т.Бекмамбетов, Е.Миронов",6+
123560,Рок,2017-05-05,"Трагикомедия о трех провинциальных музыкантах, отправившихся в Москву по приглашению выступить на радио. В ролях: И.Ивашкин, К.Фролов, Д.Чеботарев, Н.Тарасов, В.Кищенко, Е.Стычкин и др.",,Кино,Цветной,1,87.0,Другой,"ООО ""ВГИК-ДЕБЮТ""",Россия,2017,И.Шахназаров,Н.Васенина,"И.Шахназаров, И.Заваруев",Е.Мусин,Ю.Потеенко,"В.Малышев, Ф.Попов",16+
123566,Выстрел в пустоту,2017-07-13,"В ролях: Джон Бернтал, Николай Костер-Вальдау, Лэйк Белл. Бандитские сферы влияния. ",,Кино,Цветной,2,120.0,Другой,"Болд Филмз, Партисепэнт Медиа, Релативити Студиоз",США,2017,Рик Роман Во,Гай Барнс,Рик Роман Во,Дана Гонсалес,Антонио Пинто,"Джонатан Кинг, Мишель Литвак, Гари Майкл Уотерс",18+
123620,Звонки,2017-02-01,"В ролях: Винсент Д'Офрио, Джонни Галэки. Таинственная видекассета.",,Кино,Цветной,1,102.0,Другой,"Макари/Эдельштейн, Паркес + МакДональд Имэйдж Нэйшн, Вертиго Интертейнмент, Вэддиэйшн Клейртрэп, Коламбиа Пикчерз",США,2017,Ф.Хавьер Гутьеррес,Кевин Кэвэно,"Джейкоб Аарон Эстес, Акива Голдсман, Дэвид Лука, Кодзи Судзуки",Шэрон Мейр,Мэттью Марджесон,"Лори МакДональд, Уолтер Ф.Паркс",18+
123625,МУЛЬТ в кино. Выпуск № 48,2017-03-01,Мультсборник,Анимационный,Кино,Цветной,,,Другой,"ООО ""Мульт в кино""",Россия,2017,О.Семёнова,,Гизатуллин В.Р.,,"С.Боголюбский, Л.Ставрович",П.Смирнов,0+
123669,Собачья жизнь (2017),2017-02-20,"В ролях: Деннис Куэйд, Бритт Робертсон. Экранизация.",,Кино,Цветной,1,100.0,Другой,"Эмблин Интертейнмент, Пэрайа Интертейнмент, Релианс Интертейнмент, Уолден Медиа",США,2017,Лассе Халльстрём,Майкл Карлин,"У. Брюс Кэмерон, Кэтрин Мишон",Терри Стэйси,Рэйчел Портман,"Гэвин Полон, Даррен Риган, Марк Суриан",6+
123670,Матрица времени,2017-02-20,"В ролях: Зои Дойч, Холстон Сейдж. Проклятый день.",,Кино,Цветной,1,100.0,Другой,"Осемнесс Филмз, Джон Шестек Продакшнз",США,2017,Ри Руссо-Янг,Пол Джоял,Мария Мадженти,Майкл Фимоньяри,Адам Тейлор,"Марк Бьенсток, Мэттью Каплан, Брайан Роббинс",16+
123686,Конг: Остров черепа,2017-02-21,"В ролях: Том Хиддлстон, Джон Гудман. Приключения.",,Кино,Цветной,1,118.0,Другой,"Уорнер Бразерс, Леджендари Пикчерз",США - Вьетнам,2017,Джордан Вогг-Робертс,Мэри Вогт,"Макс Боренстейн, Джон Гэйтинс",Ларри Фонг,Генри Джекман,"Джон Джашни, Томас Тулл",16+
123747,Послесвадебный разгром,2017-03-20,"В ролях: Крис Маршалл, Райан Корр. Похождения бедовых друзей-англичан.",,Кино,Цветной,1,92.0,Другой,Гореан Филмз,Австралия,2017,Марк Лампрелл,Эмма Флетчер,Дин Крэйг,Стив Арнольд,Дэвид Хиршфелдер,"Лоуренс Малкин, Шеа Сталлингс, Таня Чэмберс",18+
123748,Голос из камня,2017-05-10,"В ролях: Эмилия Кларк, Мартон Чокаш. Экранизация.",,Кино,Цветной,1,90.0,Другой,"Занук Индепендент, Коуд 39 Филмз, Продюсер Кэпитал Фанд",США - Италия,2017,Эрик Д.Хауэлл,Анна Ломбарди,Эндрю Шоу,Питер Саймонит,Михаэль Вандмахер,"Стефано Галлини-Дуранте, Дин Занук",18+
123752,Не ждали.,2017-06-27,Мелодрама,,Кино,Цветной,1,114.0,Другой,"ЗАО ""Кинокомпания ФаворитФильм""",Россия,2017,В.Мережко,А.Суворов,В.Мережко,И.Багаев,Д.Смирнов,"А.Чижиков, С.Куликов, Н.Чижикова",16+
123764,Крым (2017),2017-04-12,"В ролях - Р.Курцын, Е.Лапова, П.Крайнов, П.Трубинер, Б.Щербаков, Е.Котельникова, Г.Яковлев, А.Комашко, Н.Зверев, И.Буяновер и др.                     Драма, боевик",,Кино,Цветной,1,100.0,Другой,"ООО ""Пиманов и партнеры""",Россия,2017,А.Пиманов,М.Мартьянова,"А.Пиманов, В.Брагин",В.Климов,О.Воляндо,А.Пиманов,16+
123767,Зубы накаливания,2017-04-12,"В ролях - Золототрубова Е., Паньков Р., Панкратов В., Минин Е.                                             Драма, триллер, мистика, ужасы",,Кино,Цветной,,,Другой,Золототрубов Дмитрий Александрович,Россия,2017,Д.Золототрубов,Д.Золототрубов,Д.Золототрубов,Д.Золототрубов,Д.Золототрубов,Д.Золототрубов,16+
